Package_Names,City_Names,Duration,Hotel_Types,Original_Prices,Discounted_Prices,Discount_Amount,Ratings,Reviews,State
Dwarka Tour Packages For A Memorable Experience On Your Next Trip,Jamnagar,4,3 Star,"13,333","12,000",1333,4.1,283,Gujarat
Book Our Alleppey Houseboat Tour Package For A Romantic Getaway,Alleppey,2,3 Star,"8,118","7,387",731,4.5,30,Kerala
Top Ooty Tour Packages For A Surreal Holiday,Ooty,3,3 Star,"12,597","11,589",1008,4.2,823,Tamil Nadu
Desert Delight Rajasthan Tour Package,Jaisalmer,4,3 Star,"8,791","8,000",791,4.1,418,Rajasthan
Enigmatic Leh Ladakh Tour Packages For Enthusiastic Travelers,Manali,10,3 Star,"67,988","63,455",4533,4.5,49,Himachal Pradesh
4 Days Dharamshala Tour Packages For A Fun-filled Vacation,Dharamshala,4,2 Star,"16,667","15,000",1667,4.1,204,Himachal Pradesh
Madurai And Rameshwaram Await Your Exploration,Madurai,6,3 Star,"29,455","25,920",3535,4.2,12227,Tamil Nadu
Plan A Replenishing 2N 3D Alleppey Kerala Tour For A Paradiscal Holiday,Alleppey,3,3 Star,"11,198","10,078",1120,4.5,207,Kerala
Rajasthan 6 Days Tour Package,Jodhpur,6,3 Star,"26,419","21,000",5419,4.2,573,Rajasthan
Best of Goa: Exciting Family Vacation Package,Calangute,6,2 Star,"39,360","32,800",6560,4.1,879,Goa
Best Selling Auli Tour Packages For A Refreshing Break,Dehradun,8,3 Star,"33,833","30,450",3383,4.2,4289,Uttarakhand
"Adventurous Sikkim, Kalimpong & Darjeeling Tour Package",Gangtok,8,3 Star,"69,818","65,587",4231,4.3,534,Sikkim
Exciting Delhi Family Tour Package,New Delhi,3,2 Star,"4,395","3,999",396,4.1,9338,New Delhi
Tempting North East Tour Package,Shillong,4,2 Star,"16,847","15,499",1348,4.1,296,Meghalaya
Riveting Goa Honeymoon Package: A Romantic Rendezvous In Goa,Candolim,4,4 Star,"33,323","29,324",3999,4.2,823,Goa
Adventurous & Cherishable Mount Abu Tour Packages For 2 Days,Mount Abu,2,3 Star,"5,434","4,999",435,4.1,465,Rajasthan
Best Selling Jim Corbett Packages For A Refreshing Getaway,Jim Corbett,3,2 Star,"14,675","12,900",1775,4.2,714,Uttarakhand
Gangtok Tour Package For 3 Nights And 4 Days,Gangtok,4,4 Star,"43,582","40,095",3487,3.9,323,Sikkim
Mesmerizing Meghalaya Tour,Shillong,4,3 Star,"17,032","15,499",1533,4.1,2427,Meghalaya
Exemplary Jaipur Packages For A Vibrant Vacation,Jaipur,3,2 Star,"9,333","6,000",3333,NaN,356,Rajasthan
Spend Some Spiritual Time at Dwarkadhish,Dwarka,3,3 Star,"10,786","9,600",1186,4.1,1162,Gujarat
Book The Best Rishikesh Package For 2 Nights For A Filling Vacation,Rishikesh,3,3 Star,"10,439","9,499",940,4.1,650,Uttarakhand
Goa Tour Package For 3 nights and 4 days,Goa,4,3 Star,"19,956","17,500",2456,4.3,2308,Goa
Best-Selling North East Tours For An Escape To Nature,Kaziranga,5,2 Star,"20,000","18,000",2000,4.1,296,Assam
A Fascinating Vacation In Auli,Auli,5,3 Star,"27,707","24,936",2771,4.3,88,Uttarakhand
Splendid Sikkim Gangtok Lachen Lachung Packages For An Exciting Tour,Gangtok,6,3 Star,"57,847","53,397",4450,NaN,5002,Sikkim
Spectacular Cochin Tour Package,Cochin,2,3 Star,"4,515","3,973",542,NaN,162,Kerala
Marvellous Goa Tour Packages For A Sun-Kissed Vacation,Calangute,5,3 Star,"16,667","12,500",4167,4.1,204,Goa
Affordable 2 Nights 3 Days Mount Abu Family Tour Packages,Mount Abu,3,3 Star,"8,791","8,000",791,4.5,49,Rajasthan
Kerala Honeymoon Package With Ayurvedic Massage,Kochi,8,3 Star,"61,841","57,506",4335,4.5,30,Kerala
Delightful Udaipur Tour Package,Udaipur,5,3 Star,"14,285","12,999",1286,NaN,1688,Rajasthan
Phenomenal Travel Package For Magical Mysore,Mysore,2,2 Star,"8,043","7,319",724,4.3,88,Karnataka
Jumbo Goa Family Holiday Package,Candolim,7,4 Star,"40,588","36,529",4059,4.4,327,Goa
Delightful Uttarakhand Family Tour Package,Mussoorie,11,3 Star,"42,614","37,500",5114,4.3,534,Uttarakhand
Exotic Sikkim Tour Packages for a Mesmerising Holiday,Gangtok,8,3 Star,"37,333","35,000",2333,4.2,1314,Sikkim
Best Selling Goa Monsoon Tour Packages For A Refreshing Vacay,Candolim,4,3 Star,"19,543","16,099",3444,4.1,180,Goa
Amazing Kashmir Tour Package,Srinagar,5,2 Star,"14,287","13,000",1287,4.1,315,Jammu and Kashmir
Top Selling Budgeted Kasol Tour Packages,Kasol,6,3 Star,"25,000","22,000",3000,4.2,573,Himachal Pradesh
Best-Selling 4 Nights 5 Days Gujarat Package For A Cherishable Vacation,Jamnagar,5,3 Star,"19,764","17,590",2174,4.1,6008,Gujarat
Splendid Goa Island Tour With Dudhsagar Falls,Calangute,6,3 Star,"35,359","28,750",6609,NaN,364,Goa
Mesmerizing Mysore Trip Package,Mysore,2,3 Star,"11,395","10,369",1026,4.5,49,Karnataka
Best 3 Nights 4 Days Exhilarating Dharamshala Tour Package,Dharamshala,4,3 Star,"16,484","15,000",1484,4.1,315,Himachal Pradesh
Exemplary Uttarakhand Family Tour Packages For A Memorable Tour,Mussoorie,7,2 Star,"21,379","20,000",1379,4.6,198,Uttarakhand
Choose From Our Darjeeling Gangtok Tour Package For An Awestruck Holiday,Gangtok,10,2 Star,"48,068","42,300",5768,4.1,9655,Sikkim
6 Nights 7 Days Gujarat Family Tour Packages For A Refreshing Getaway,Ahmedabad,7,3 Star,"23,076","20,999",2077,4.1,376,Gujarat
Soulful Dwarka Gujarat Tour Package,Dwarka,3,3 Star,"10,434","9,599",835,NaN,1570,Gujarat
Popular Kutch Tour Package,Bhuj,3,3 Star,"23,736","21,600",2136,4.1,9655,Gujarat
Perfect Mussoorie Tour Package,Mussoorie,4,3 Star,"16,666","14,999",1667,4.2,40,Uttarakhand
Admire The Beautiful Places In Northeast India,Guwahati,7,3 Star,"40,659","37,000",3659,4.5,30,Assam
Explore Our Amazing 3 Nights 4 Days Gujarat Tour Packages,Dwarka,4,3 Star,"13,478","12,400",1078,4.5,196,Gujarat
Best Selling 6 Nights And 7 Days Arunachal Pradesh Tour,Bhalukpong,7,2 Star,"44,066","40,100",3966,4.1,650,Arunachal Pradesh
Best 2 Night 3 Days Mysore Tour Package For A Reviving Getaway,Mysore,3,3 Star,"11,522","10,370",1152,4.3,2308,Karnataka
Charismatic Kerala Family Holiday Package,Kochi,8,3 Star,"27,156","25,798",1358,4.1,1162,Kerala
Memorable Mahabaleshwar Family Package For 3 Nights 4 Days,Mahabaleshwar,4,3 Star,"13,296","12,099",1197,4.2,3333,Maharashtra
Riveting Rajasthan Sightseeing Tour Package,Jaipur,7,3 Star,"21,097","19,198",1899,4.2,257,Rajasthan
Kerala Honeymoon Package For 2 Nights 3 Days,Munnar,3,3 Star,"9,031","8,399",632,4.1,6008,Kerala
Thrilling Jim Corbett National Park Honeymoon Package,Jim Corbett,3,4 Star,"13,846","12,600",1246,4.2,4281,Uttarakhand
Splendid Goa Tour Package For 3 Nights 4 Days,Goa,4,3 Star,"9,890","9,000",890,4.3,2308,Goa
Splendid Ladakh Honeymoon Package,Leh,7,2 Star,"30,681","26,999",3682,4.2,4289,Ladakh
Infinitely Romantic Jammu And Kashmir Honeymoon Package,Srinagar,3,3 Star,"21,429","19,500",1929,4.1,3697,Jammu and Kashmir
Best Selling Holidays To Sikkim With Your Loved Ones,Gangtok,4,4 Star,"29,055","26,731",2324,4.2,4289,Sikkim
South India Honeymoon Package For 2 Nights 3 Days,Munnar,3,3 Star,"17,503","16,103",1400,4.1,120,Kerala
Fanciful Kodaikanal Honeymoon Package,Kodaikanal,3,5 Star,"23,461","21,350",2111,4.3,8959,Tamil Nadu
Alluring Goa Honeymoon Package,Goa,6,4 Star,"19,120","17,399",1721,NaN,4423,Goa
Goa Beachside Honeymoon Package,Goa,5,4 Star,"24,175","21,999",2176,4.2,1688,Goa
Gangtok Tour Package For 2 Nights 3 Days,Gangtok,3,5 Star,"79,666","74,089",5577,4.1,315,Sikkim
Mesmerizing Meghalaya Tour Package,Shillong,4,2 Star,"19,830","17,450",2380,4.3,2308,Meghalaya
Auli Honeymoon Package For 2 Nights 3 Days,Auli,3,3 Star,"14,784","13,749",1035,4.3,2308,Uttarakhand
Darjeeling Tour Package For 3 Nights 4 Days,Darjeeling,4,4 Star,"25,562","24,028",1534,4.1,589,West Bengal
Most Romantic Mussoorie Tour Packages For You And Your Better Half,Mussoorie,3,3 Star,"9,031","8,500",531,NaN,139,Uttarakhand
A Lovely Honeymoon In Munnar,Munnar,4,3 Star,"14,765","13,436",1329,4.2,4156,Kerala
The Perfect Romantic Goa Honeymoon Tour,Goa,4,3 Star,"15,384","13,999",1385,4.1,35,Goa
Exhilarating Rajasthan Honeymoon Tour Package,Jaipur,6,3 Star,"17,977","16,000",1977,4.1,4670,Rajasthan
Striking Thekkady Kochi Munnar Honeymoon Package,Munnar,4,3 Star,"16,435","15,120",1315,4.2,117,Kerala
Magical Himachal Trip Packages From Mumbai,Shimla,9,4 Star,"39,011","35,500",3511,4.1,144,Himachal Pradesh
Gorgeous Gangtok Tour Package,Gangtok,3,2 Star,"24,493","22,044",2449,4.3,2308,Sikkim
South Goa Honeymoon Package - Rendezvous With Nature,Goa,3,3 Star,"11,763","9,999",1764,4.1,376,Goa
Romantic  Mount Abu Tour Package,Udaipur,4,3 Star,"9,332","8,399",933,4.1,1319,Rajasthan
Srinagar Gulmarg Pahalgam Tour Package,Srinagar,4,3 Star,"17,553","16,500",1053,4.1,3697,Jammu and Kashmir
Exotic Kashmir Honeymoon Package,Srinagar,4,2 Star,"15,463","11,984",3479,3.7,168,Jammu and Kashmir
Goa Tour Package For 2 Persons,Goa,3,3 Star,"9,782","8,999",783,4.1,4357,Goa
An Enjoyable Kochi Family Package,Cochin,4,3 Star,"17,142","15,599",1543,4.2,9722,Kerala
Charming Mussoorie Honeymoon Package,Mussoorie,3,3 Star,"15,866","14,438",1428,4.2,117,Uttarakhand
Captivating Kerala Honeymoon Package,Munnar,4,3 Star,"17,142","15,599",1543,4.2,8570,Kerala
Wonderful Summer Special Family Tour To Verdant Coorg,Coorg,3,5 Star,"26,142","23,789",2353,4.2,482,Karnataka
Astounding Tour Package To Kasol,Kasol,3,3 Star,"12,637","11,500",1137,4.3,534,Himachal Pradesh
Spectacular Udaipur Honeymoon Package,Udaipur,3,3 Star,"8,241","7,499",742,4.2,482,Rajasthan
Shimla: The Gem In Himachalâs Crown,Shimla,3,3 Star,"5,435","5,000",435,4.2,910,Himachal Pradesh
Fun-Filled Gangtok & Darjeeling Family Tour,Darjeeling,6,3 Star,"66,084","57,073",9011,4.3,2308,West Bengal
Splendid Mount Abu Summer Festival Package,Mount Abu,3,4 Star,"17,582","16,000",1582,4.2,4281,Rajasthan
Romantic Rajasthan Honeymoon Tour,Jaipur,9,4 Star,"43,955","39,999",3956,NaN,139,Rajasthan
Kodaikanal 1 Night 2 Days Tour Package For An Unforgettable Experience,Kodaikanal,2,3 Star,"10,101","9,394",707,4.1,1538,Tamil Nadu
Fascinating Goa Honeymoon,Goa,4,4 Star,"15,934","14,500",1434,4.3,2308,Goa
Goa Honeymoon Package For 2 Nights 3 Days,Goa,3,3 Star,"9,139","8,499",640,4.2,714,Goa
Best 2N/3D Sikkim Tour Package For A Refreshing Getaway,Darjeeling,3,2 Star,"29,054","27,020",2034,4.2,714,West Bengal
Splendid Coorg Honeymoon Package,Coorg,3,3 Star,"21,011","18,910",2101,4.3,2308,Karnataka
Ooty Honeymoon Package for 1 Night & 2 Days,Ooty,2,3 Star,"11,544","10,736",808,4.2,4281,Tamil Nadu
Heavenly Darjeeling Sightseeing Tour Package,Darjeeling,4,2 Star,"24,710","22,486",2224,4.2,1314,West Bengal
Sensational Himachal Tour Package From Chennai,Shimla,9,4 Star,"42,308","38,500",3808,4.2,4156,Himachal Pradesh
Adventurous Leh-Ladakh Tour Package,Leh,8,3 Star,"47,980","47,500",480,4.2,4289,Ladakh
A Royal Udaipur Family Tour Package,Udaipur,3,3 Star,"7,608","6,999",609,4.2,117,Rajasthan
Rajasthan Tourism Package For Honeymooners,Udaipur,4,3 Star,"12,637","11,500",1137,4.2,93,Rajasthan
Astonishing Himachal Tour Package From Bangalore,Shimla,9,3 Star,"36,484","33,200",3284,4.3,2308,Himachal Pradesh
Holy Char Dham Package: Badrinath,Haridwar,4,2 Star,"9,230","8,399",831,4.5,49,Uttarakhand
Best Selling Mussoorie Getaways For A Refreshing Break,Mussoorie,2,3 Star,"6,209","5,774",435,4.2,910,Uttarakhand
A Short And Sweet Puri Tour Package,Puri,3,3 Star,"10,483","9,540",943,4.2,5129,Rajasthan
Scintillating Shillong Sightseeing Tour Package,Shillong,3,3 Star,"9,890","9,000",890,4.1,376,Meghalaya
Sublime Gangtok Package For Family,Gangtok,4,2 Star,"31,821","28,002",3819,4.3,2308,Sikkim
Religious Char Dham Tour Packages,Haridwar,7,2 Star,"10,384","9,449",935,3.6,134,Uttarakhand
Kerala Houseboat Trip Package For 4 Nights 5 Days,Munnar,5,3 Star,"23,946","20,400",3546,4.1,9283,Kerala
Lovely Goa Family Tour,Calangute,4,3 Star,"12,921","11,500",1421,NaN,1429,Goa
Magnificent Kasol Tour Package,Kasol,4,2 Star,"13,187","12,000",1187,4.2,714,Himachal Pradesh
Incredible Ladakh Honeymoon Tour Package,Leh,7,2 Star,"28,089","24,999",3090,NaN,364,Ladakh
Thrilling Dharamshala Tour Package,Dharamshala,4,3 Star,"16,484","15,000",1484,NaN,139,Himachal Pradesh
An Invigorating Madurai Sightseeing Tour Package,Madurai,6,3 Star,"21,796","19,834",1962,4.1,4357,Tamil Nadu
Delightful Kodaikanal Sightseeing Tour Package,Kodaikanal,3,2 Star,"16,758","15,250",1508,4.2,4289,Tamil Nadu
Exotic Goa Tour,Goa,5,5 Star,"21,098","19,199",1899,3.8,141,Goa
"Ideal Sikkim, Gangtok, Darjeeling Honeymoon Package",Gangtok,8,2 Star,"35,955","32,000",3955,4.2,257,Sikkim
Best Selling Mahabaleshwar Sightseeing Encounters,Mahabaleshwar,3,3 Star,"10,879","9,900",979,4.3,8959,Maharashtra
Splendid Ooty Tour Package,Ooty,3,4 Star,"14,076","12,809",1267,4.2,171,Tamil Nadu
A Blissful Goa Honeymoon Package,Goa,5,3 Star,"15,164","13,799",1365,4.1,35,Goa
Summer Special Uttarakhand Honeymoon Package,Nainital,6,3 Star,"31,730","28,874",2856,4.3,2308,Uttarakhand
Kochi Family Trip: Incredible Fun,Cochin,2,3 Star,"7,734","7,038",696,4.1,376,Kerala
Amazing Goa Family Tour: Forts & Adventure,Goa,4,2 Star,"19,756","16,500",3256,4.1,879,Goa
Romantic Mount Abu Honeymoon Package,Udaipur,4,3 Star,"11,235","9,999",1236,4.1,204,Rajasthan
Kerala Honeymoon Tour Package With Houseboat Stay,Munnar,6,3 Star,"34,720","29,760",4960,4.2,28,Kerala
Kashmir Tour Package For 2 Nights 3 Days,Srinagar,3,3 Star,"16,667","15,500",1167,4.1,348,Jammu and Kashmir
Astonishing Alleppey Family Tour Package,Alleppey,2,3 Star,"7,696","7,003",693,4.1,2698,Kerala
Spell-Binding Mussoorie Tour Package,Mussoorie,3,3 Star,"16,770","15,093",1677,4.4,1259,Uttarakhand
Leh Ladakh 6 Days Trip Package For An Enthralling Experience,Leh,6,3 Star,"27,173","24,999",2174,NaN,139,Ladakh
Captivating Kovalam Honeymoon Package,Kovalam,3,3 Star,"13,227","11,640",1587,4.1,39,Kerala
Fantastical Rajasthan Honeymoon Package,Jodhpur,4,4 Star,"13,735","12,499",1236,4.1,8942,Rajasthan
Mesmerizing Sikkim & Darjeeling Family Tour Package,Gangtok,6,3 Star,"32,727","30,000",2727,4.2,4289,Sikkim
Offbeat Uttarakhand Tour,Nainital,4,3 Star,"17,308","15,750",1558,NaN,531,Uttarakhand
Romantic Lansdowne Honeymoon Package,Lansdowne,2,4 Star,"9,807","8,924",883,4.3,8677,Uttarakhand
Exquisite Andaman Honeymoon Tour Package,Port Blair,8,2 Star,"30,208","26,310",3898,4.1,1319,Andaman and Nicobar Islands
Alluring Himachal Tour Package From Ahmedabad,Shimla,9,4 Star,"36,484","33,200",3284,NaN,670,Himachal Pradesh
Gorgeous Gir Tour Package,Sasan Gir,3,3 Star,"12,800","11,648",1152,4.1,644,Gujarat
Amazing Agra Tour Package,Agra,4,3 Star,"8,791","8,000",791,4.3,684,Uttar Pradesh
"Refreshing Gangtok, Kalimpong & Darjeeling Tour Package",Gangtok,7,3 Star,"62,409","56,982",5427,4.2,714,Sikkim
Engaging Leh Tour,Leh,6,3 Star,"46,153","41,999",4154,4.2,11580,Ladakh
Rejuvenating Rameshwaram Tour,Madurai,5,2 Star,"16,758","15,250",1508,4.2,714,Tamil Nadu
A Mesmerizing Tawang Tour Package,Bhalukpong,7,3 Star,"41,209","37,500",3709,4.2,823,Arunachal Pradesh
An Amazing Kasol And Kheerganga Tour Package,Kasol,5,3 Star,"17,033","15,500",1533,4.1,112,Himachal Pradesh
Rejuvenating Summer Special Shimla Tour Package,Shimla,4,3 Star,"16,484","15,000",1484,4.1,8625,Himachal Pradesh
Nostalgic Kochi Honeymoon Tour,Cochin,5,3 Star,"15,468","14,076",1392,4.1,180,Kerala
Lovable Gangtok Family Package,Gangtok,3,2 Star,"25,044","22,289",2755,4.2,145,Sikkim
Enjoyable Tamil Nadu Tour Package,Ooty,3,2 Star,"12,736","11,590",1146,NaN,4423,Tamil Nadu
Best Selling Nainital Getaways For A Refreshing Break,Nainital,2,3 Star,"6,702","6,300",402,4.2,3710,Uttarakhand
A Fantabulous Cherrapunji Trip Package,Cherrapunjee,3,3 Star,"12,637","11,500",1137,4.1,4765,Meghalaya
Captivating Delhi Tour Package,Agra,4,3 Star,"8,791","8,000",791,4.2,1282,Uttar Pradesh
Soothing Srinagar Honeymoon Package,Srinagar,2,4 Star,"19,888","17,700",2188,4.1,35,Jammu and Kashmir
Fascinating Goa Tour Package,Goa,5,3 Star,"17,582","16,000",1582,4.2,714,Goa
Stunning Rajasthan Honeymoon Package,Jaipur,9,3 Star,"40,230","35,000",5230,4.2,823,Rajasthan
Weekend In Kerala-Vythiri With Tree House Stay,Wayanad,4,3 Star,"21,215","20,154",1061,4.1,9655,Kerala
Mahabaleshwar Panchgani Tour Package For 3 Nights 4 Days,Mahabaleshwar,4,4 Star,"23,626","21,500",2126,4.4,58,Maharashtra
Amazing Alleppey Houseboat Tour Package,Alleppey,2,3 Star,"8,211","7,390",821,4.1,204,Kerala
"Vibrant Sikkim, Gangtok, Darjeeling Honeymoon Package",Gangtok,10,2 Star,"43,182","38,000",5182,4.3,560,Sikkim
Best 2N 3D Chikmagalur Tour Packages For A Mesmerizing Experience,Chikmagalur,3,3 Star,"15,151","14,090",1061,4.6,17,Karnataka
Alluring Alleppey Tour Package,Alleppey,3,3 Star,"10,774","9,804",970,4.3,2308,Kerala
Adventurous Sariska Tour Package,sariska,3,3 Star,"5,354","4,500",854,4.1,797,Rajasthan
Adventurous Ranthambore Tour Package,Ranthambore,3,3 Star,"7,734","6,500",1234,4.1,2698,Rajasthan
Adventurous Dharamshala Sightseeing Tour Packages,Dharamshala,4,3 Star,"13,736","12,500",1236,4.3,2308,Himachal Pradesh
Magical Meghalaya Tour Package,Shillong,3,3 Star,"14,366","12,498",1868,3.5,2,Meghalaya
Heavenly Himachal Honeymoon Escapade,Shimla,8,3 Star,"25,274","22,999",2275,4.1,8942,Himachal Pradesh
Heavenly Kumarakom Alleppey Tour Package,Kumarakom,3,3 Star,"11,321","10,076",1245,4.1,1538,Kerala
Exhilarating Goa Tour,Goa,4,4 Star,"15,384","13,999",1385,4.1,4357,Goa
"Thrilling Gangtok, Pelling, Darjeeling Family Trip",Gangtok,5,2 Star,"54,981","50,583",4398,4.2,3333,Sikkim
Stunning Leh Tour,Leh,8,3 Star,"32,966","29,999",2967,4.2,482,Ladakh
Golden Triangle Tour With Rajasthan and Madhya Pradesh,New Delhi,18,3 Star,"66,000","60,500",5500,4.2,257,New Delhi
A Pleasant Tour In Munnar,Munnar,3,3 Star,"11,243","10,231",1012,4.2,1313,Kerala
Ultra Romantic Rann Of Kutch Tour Package,Bhuj,5,3 Star,"17,692","16,100",1592,NaN,4173,Gujarat
Memorable And Romantic Coorg Honeymoon Tour,Coorg,4,2 Star,"15,417","14,029",1388,NaN,51,Karnataka
A Tour Amid Nature In Kodaikanal,Coorg,7,3 Star,"29,677","27,006",2671,4.3,8959,Karnataka
Romantic Coorg Honeymoon Package,Coorg,3,3 Star,"18,098","16,469",1629,4.2,823,Karnataka
Mesmerizing Mount Abu Tour Package,Jaipur,6,3 Star,"51,111","46,000",5111,4.1,2698,Rajasthan
Surreal Dalhousie Tour Packages,Dalhousie,3,3 Star,"24,685","22,463",2222,4.1,165,Himachal Pradesh
Best Selling Hyderabad Tours for Refreshing Holidays,Hyderabad,3,3 Star,"15,484","14,090",1394,4.4,60,Telangana
Soulful Char Dham Yatra Package,Haridwar,12,2 Star,"59,783","55,000",4783,4.2,1375,Uttarakhand
Alluring Agra Sightseeing Tour Package,Agra,3,3 Star,"5,494","5,000",494,3.7,189,Uttar Pradesh
Remarkable Kasauli Tour Package,Kasauli,2,3 Star,"16,434","15,119",1315,4.1,144,Himachal Pradesh
Delightful Nainital Mukteshwar Family Package,Nainital,4,3 Star,"14,423","13,125",1298,4.1,61,Uttarakhand
Delightful Athirapally Honeymoon Package,Athirapally,2,3 Star,"7,357","6,695",662,4.3,8959,Kerala
Lovely Delhi Tour Package,Agra,4,3 Star,"10,989","10,000",989,4.1,315,Uttar Pradesh
Do Dham Yatra Package: Yumnotri and Gangotri,Haridwar,7,2 Star,"15,000","13,650",1350,4.2,11533,Uttarakhand
Exotic Ladakh Honeymoon Package,Leh,6,2 Star,"21,110","18,999",2111,4.1,219,Ladakh
Majestic Jaisalmer Honeymoon Package,Jodhpur,4,3 Star,"19,021","17,499",1522,4.2,714,Rajasthan
Invigorating Himachal Tour Package,Shimla,8,3 Star,"36,044","32,800",3244,NaN,212,Himachal Pradesh
Have A Fantastic Tawang Trip Full Of Joy,Bhalukpong,6,3 Star,"35,714","32,500",3214,3.4,7,Arunachal Pradesh
Top-Ranked Kanyakumari Sightseeing Package For A Fun-Filled Holiday,Kanyakumari,3,2 Star,"10,323","9,394",929,4.3,8633,Tamil Nadu
Spiritual Char Dham Yatra Package,Haridwar,11,2 Star,"20,769","18,900",1869,4.3,684,Uttarakhand
Exhilarating Auli Tour Package,Auli,3,2 Star,"14,583","13,125",1458,4.1,644,Uttarakhand
Best Kasol 2N 3D Tour Package For A Reviving Getaway,Kasol,3,3 Star,"21,505","20,000",1505,4.2,257,Himachal Pradesh
Sensational Leh Honeymoon Package,Leh,13,3 Star,"63,231","57,540",5691,4.1,271,Ladakh
Blissful Shimla Tour Package,Shimla,4,2 Star,"13,930","12,816",1114,3.8,903,Himachal Pradesh
Mysore: A Culturally Rich City,Mysore,3,3 Star,"14,076","12,809",1267,4.1,1319,Karnataka
A Revitalizing Tamil Nadu Tour Package,Ooty,4,3 Star,"16,758","15,250",1508,NaN,4194,Tamil Nadu
Leh Ladakh 5 Days Trip Package,Leh,5,3 Star,"22,825","20,999",1826,3.6,134,Ladakh
Ravishing Rishikesh Tour Package,Rishikesh,2,3 Star,"7,500","6,825",675,NaN,343,Uttarakhand
Mind Blowing Shillong Honeymoon Package,Shillong,3,3 Star,"13,736","12,500",1236,4.1,120,Meghalaya
Offbeat Leh Ladakh Tour Package Including Tso Moriri,Leh,10,3 Star,"44,943","39,999",4944,4.3,8983,Ladakh
Alluring Jaisalmer Tour Package,Jaisalmer,4,3 Star,"19,662","17,499",2163,4.1,696,Rajasthan
Enchanting Leh Ladakh Family Tour Package (Ex Srinagar),Srinagar,8,4 Star,"48,102","44,999",3103,4.1,2336,Jammu and Kashmir
Guwahati Trip Package,Guwahati,3,3 Star,"12,636","11,499",1137,4.2,4289,Assam
Romantic Jammu Kashmir Honeymoon Package,Katra,9,2 Star,"26,378","23,500",2878,4.1,547,Jammu and Kashmir
Enriching Kochi Munnar Family Tour Package,Cochin,4,3 Star,"14,332","12,899",1433,4.3,25,Kerala
Divine Dharamshala Honeymoon Package,Dharamshala,5,3 Star,"14,945","13,600",1345,4.2,139,Himachal Pradesh
Kerala Weekend Special: Kumarakom Backwaters & Munnar Hills,Munnar,4,3 Star,"12,214","12,092",122,4.2,3444,Kerala
An Enthralling Jodhpur Sightseeing Tour Package,Jodhpur,4,2 Star,"10,989","10,000",989,4.1,5185,Rajasthan
Blissful Kashmir Honeymoon Package,Srinagar,7,2 Star,"24,444","22,000",2444,4.1,149,Jammu and Kashmir
Scenic Gangtok Tour Package,Gangtok,4,2 Star,"30,815","27,117",3698,NaN,372,Sikkim
Breathtaking Ladakh Family Package,Srinagar,10,2 Star,"69,999","62,999",7000,4.1,644,Jammu and Kashmir
Most-Exclusive Jaipur 2N 3D Tour Package,Jaipur,3,4 Star,"12,765","11,999",766,4.1,418,Rajasthan
A Family Getaway To The Hills Of Himachal,Shimla,5,3 Star,"18,681","17,000",1681,NaN,750,Himachal Pradesh
Delightful Mount Abu Family Package,Mount Abu,2,3 Star,"5,494","5,000",494,4.2,714,Rajasthan
Kerala is a Land of Wonders,Kochi,7,3 Star,"22,988","20,000",2988,4.3,560,Kerala
Bewitching Pelling Tour Package,Pelling,2,3 Star,"15,995","14,875",1120,4.2,2288,Sikkim
Top-Selling Amritsar 3 Days Package For A Delightful Trip,Amritsar,3,3 Star,"21,739","20,000",1739,4.2,9722,Punjab
Exciting Kanyakumari-Kovalam Family Tour Package,Kovalam,4,3 Star,"13,068","11,500",1568,4.1,3697,Kerala
Elegant Srinagar Tour Package,Srinagar,2,4 Star,"20,225","18,000",2225,4.2,12227,Jammu and Kashmir
Idyllic Dharamshala Family Package,Dharamshala,6,3 Star,"25,714","23,400",2314,4.1,1338,Himachal Pradesh
Adventurous Assam Tour Package,Kaziranga National Park,3,3 Star,"15,730","14,000",1730,4.1,8586,Assam
Picturesque Ranikhet Honeymoon Package,Nainital,4,2 Star,"15,000","13,650",1350,4.1,465,Uttarakhand
Gleeful Rann Of Kutch Tour Package,Bhuj,5,3 Star,"24,271","22,087",2184,NaN,876,Gujarat
Vivid Orissa Tour Package,Bhubaneshwar,3,2 Star,"13,000","11,700",1300,4.3,534,Gujarat
Lonavala Tour Package For 3 Nights 4 Days,Matheran,4,3 Star,"15,714","14,300",1414,4.1,315,Maharashtra
4 Nights 5 Days Manali Tour Package,Manali,5,3 Star,"33,230","30,239",2991,4.1,2698,Himachal Pradesh
Best Udupi Sightseeing Tour Package For A Spiritual Getaway,Udupi,3,3 Star,"11,797","10,735",1062,4.3,264,Karnataka
Top-Selling Karnataka Packages For 2 Days For A Memorable Vacay,Mysore,2,4 Star,"15,086","14,030",1056,4.2,118,Karnataka
Irresistible Leh Honeymoon Package,Leh,9,3 Star,"47,252","42,999",4253,4.1,529,Ladakh
Explore The True Tradition Of Gujarat,Bhuj,3,3 Star,"15,215","13,846",1369,4.2,257,Gujarat
Ultimate Uttarakhand Tour Package,Nainital,8,2 Star,"33,156","30,449",2707,4.1,180,Uttarakhand
Dynamic Orissa Tour Package,Bhubaneshwar,5,2 Star,"15,909","14,000",1909,4.6,5,Gujarat
Intimate Summer Special Shimla Honeymoon Package,Shimla,5,3 Star,"41,775","38,015",3760,4.2,435,Himachal Pradesh
Scintillating North East Tour Package,Bhalukpong,6,2 Star,"25,568","22,500",3068,3.9,250,Arunachal Pradesh
